family,protocol,n,freq_errors,fusion_errors,corrected_by_fusion,degraded_by_fusion,both_wrong,both_correct,net_corrections,correction_rate_of_freq_errors,degradation_rate_of_freq_correct,freq_macro_f1,fusion_macro_f1,delta_macro_f1_pp
lr,stratified,2589,23,30,20,27,3,2539,-7,0.8695652173913043,0.010522213561964146,0.9694338664635694,0.966722337487899,-0.27115289756703964
lr,board_lobo,12944,99,293,83,277,16,12568,-194,0.8383838383838383,0.021564811210587776,0.9737218871987265,0.9423333352712838,-3.138855192744272
lr,material_lomo,12944,216,340,186,310,30,12418,-124,0.8611111111111112,0.024355751099937147,0.9426632847178187,0.9370242894487435,-0.5638995269075187
