accuracy,balanced_accuracy,macro_f1,weighted_f1,family,protocol,feature_kind,heldout_group,n_train,n_test
0.9911162611046737,0.9695732838589983,0.9694338664635694,0.991117241682275,lr,stratified,freq,validation,10355,2589
0.9683275395905755,0.938386449572271,0.9283754084302347,0.9685142567920181,lr,stratified,embed,validation,10355,2589
0.9884125144843569,0.966942029986462,0.966722337487899,0.9883918516615163,lr,stratified,fusion,validation,10355,2589
1.0,1.0,1.0,1.0,lr,board_lobo,freq,C01,10211,2733
0.9918068132815869,0.973049645390071,0.9741399193870677,0.9917446012311211,lr,board_lobo,freq,C02,10625,2319
0.9932803909590715,0.9775510204081632,0.9791285162713734,0.9932314671646202,lr,board_lobo,freq,C03,11307,1637
0.9921455146754857,0.9794594594594596,0.9789861216134674,0.9921329761037082,lr,board_lobo,freq,W01,10525,2419
0.9852320675105485,0.9585798816568047,0.9549541161012651,0.9851892871521983,lr,board_lobo,freq,W02,10574,2370
0.9897680763983628,0.953125,0.9619570745600651,0.9893829872179533,lr,board_lobo,freq,W03,11478,1466
0.9773143066227589,0.9220096787932641,0.9165191543872782,0.9774592127948056,lr,board_lobo,embed,C01,10211,2733
0.9327296248382924,0.9355004710591169,0.8801985633458236,0.9367155628071252,lr,board_lobo,embed,C02,10625,2319
0.9712889431887599,0.9318406502343727,0.9436721875598206,0.971152789443521,lr,board_lobo,embed,C03,11307,1637
0.9400578751550227,0.9248966046919669,0.892551875371845,0.9436208286459654,lr,board_lobo,embed,W01,10525,2419
0.9725738396624473,0.9540851064415528,0.9286844145744905,0.9729755572972685,lr,board_lobo,embed,W02,10574,2370
0.9597544338335607,0.9172238114996525,0.9224403924770904,0.9603025463661577,lr,board_lobo,embed,W03,11478,1466
0.986827661909989,0.9587230511732416,0.9363408968517103,0.9874029745445138,lr,board_lobo,fusion,C01,10211,2733
0.9590340664079344,0.9508719574134663,0.9206311353487358,0.9613821016071612,lr,board_lobo,fusion,C02,10625,2319
0.9816737935247404,0.946299473416944,0.9611342041589858,0.9813923514774169,lr,board_lobo,fusion,C03,11307,1637
0.9681686647374949,0.9332676643751547,0.9240628250091094,0.9689735920515877,lr,board_lobo,fusion,W01,10525,2419
0.9877637130801687,0.9605492086803029,0.9595460912244131,0.9878049938961753,lr,board_lobo,fusion,W02,10574,2370
0.9822646657571623,0.9501795564444343,0.9526001299989943,0.9823736716846849,lr,board_lobo,fusion,W03,11478,1466
0.987143070713111,0.9418918918918919,0.9441804939708274,0.9867520695179784,lr,material_lomo,freq,carbon,6255,6689
0.9792166266986411,0.937799043062201,0.9375317788915523,0.9786354108403551,lr,material_lomo,freq,wood,6689,6255
0.9689041710270594,0.9303606339192647,0.9315439642751535,0.9690346302951715,lr,material_lomo,embed,carbon,6255,6689
0.9454836131095123,0.92905826214201,0.8918659463230633,0.947799501856264,lr,material_lomo,embed,wood,6689,6255
0.9790701151143669,0.9399754728961074,0.9485957217810912,0.9789293492680147,lr,material_lomo,fusion,carbon,6255,6689
0.9680255795363709,0.9503977835809201,0.9289615791782445,0.969046125465478,lr,material_lomo,fusion,wood,6689,6255
