accuracy,balanced_accuracy,macro_f1,weighted_f1,family,protocol,feature_kind,n
0.9911162611046737,0.9695732838589983,0.9694338664635694,0.991117241682275,lr,stratified,freq,2589
0.9683275395905755,0.938386449572271,0.9283754084302347,0.9685142567920181,lr,stratified,embed,2589
0.9884125144843569,0.966942029986462,0.966722337487899,0.9883918516615163,lr,stratified,fusion,2589
0.9923516687268232,0.9739245350841024,0.9737218871987265,0.992350617958387,lr,board_lobo,freq,12944
0.9587453646477132,0.9351460646107324,0.9105934781475102,0.959673903664624,lr,board_lobo,embed,12944
0.9773640296662547,0.9534288274255065,0.9423333352712838,0.9778316949310984,lr,board_lobo,fusion,12944
0.9833127317676144,0.9428836238947564,0.9426632847178187,0.9833085284995293,lr,material_lomo,freq,12944
0.9575865265760197,0.930812679515754,0.9081646975278004,0.9585049117556437,lr,material_lomo,embed,12944
0.9737330037082819,0.945843141611879,0.9370242894487435,0.974052507866987,lr,material_lomo,fusion,12944
