accuracy,balanced_accuracy,macro_f1,weighted_f1,subset,protocol,method,heldout_group,n_train,n_test
1.0,1.0,1.0,1.0,class_balanced,board_lobo,frequency_only_lr,C01,2708,557
0.9724919093851133,0.9721311475409836,0.9729223823036042,0.9722939660174641,class_balanced,board_lobo,frequency_only_lr,C02,2647,618
0.9786780383795309,0.9782608695652174,0.9791599527339134,0.9785635150063412,class_balanced,board_lobo,frequency_only_lr,C03,2796,469
0.978125,0.9816993464052288,0.9818220018488948,0.9780703079040256,class_balanced,board_lobo,frequency_only_lr,W01,2625,640
0.9734982332155477,0.9794520547945206,0.9776754222166895,0.9735422213756945,class_balanced,board_lobo,frequency_only_lr,W02,2699,566
0.9734939759036144,0.9584905660377359,0.9673182957393485,0.9725905124256424,class_balanced,board_lobo,frequency_only_lr,W03,2850,415
0.9748653500897666,0.9569377455894644,0.9576420484587412,0.9748139241022485,class_balanced,board_lobo,frequency_plus_v62a_lr,C01,2708,557
0.9449838187702265,0.9425139207094186,0.9457186383936402,0.9457714258924297,class_balanced,board_lobo,frequency_plus_v62a_lr,C02,2647,618
0.9509594882729211,0.9526696913141925,0.9513710774632435,0.9516835880786044,class_balanced,board_lobo,frequency_plus_v62a_lr,C03,2796,469
0.93125,0.9357829549006018,0.9380094895955379,0.9315671440599737,class_balanced,board_lobo,frequency_plus_v62a_lr,W01,2625,640
0.9628975265017667,0.9604780627719208,0.9632891195688638,0.9629273291957321,class_balanced,board_lobo,frequency_plus_v62a_lr,W02,2699,566
0.9590361445783132,0.9492882444569928,0.9548378141441324,0.9586776395464104,class_balanced,board_lobo,frequency_plus_v62a_lr,W03,2850,415
0.9138240574506283,0.8900917676390826,0.875106038176785,0.9171288873803115,class_balanced,board_lobo,v61_knn,C01,2708,557
0.9239482200647249,0.9224046310919324,0.9218997895954552,0.9227975094705985,class_balanced,board_lobo,v61_knn,C02,2647,618
0.9509594882729211,0.9485870457737466,0.9495888657007491,0.9507059289544275,class_balanced,board_lobo,v61_knn,C03,2796,469
0.896875,0.8995489404211513,0.9046760909583075,0.8979619825852238,class_balanced,board_lobo,v61_knn,W01,2625,640
0.8533568904593639,0.8683255648703764,0.8633849644782652,0.8523682408348534,class_balanced,board_lobo,v61_knn,W02,2699,566
0.9132530120481928,0.8930091422145633,0.8988779547400473,0.9115476511622181,class_balanced,board_lobo,v61_knn,W03,2850,415
0.9587073608617595,0.9358775352222779,0.9391688694119965,0.9585100605540816,class_balanced,board_lobo,v62a_knn,C01,2708,557
0.9514563106796117,0.9513875481015193,0.9522790876551488,0.9515631937252688,class_balanced,board_lobo,v62a_knn,C02,2647,618
0.9530916844349681,0.954386890959781,0.9548115460527337,0.9535882560316177,class_balanced,board_lobo,v62a_knn,C03,2796,469
0.921875,0.9242847426924505,0.9255804597836754,0.922082644811019,class_balanced,board_lobo,v62a_knn,W01,2625,640
0.9522968197879859,0.9482411897271836,0.952558238045162,0.9521730434797768,class_balanced,board_lobo,v62a_knn,W02,2699,566
0.944578313253012,0.933123313925865,0.9405622524199145,0.9443807559343715,class_balanced,board_lobo,v62a_knn,W03,2850,415
0.9537712895377128,0.9424242424242424,0.943952802359882,0.9524757947017491,class_balanced,material_lomo,frequency_only_lr,carbon,1621,1644
0.9309068476249229,0.9361577181208054,0.9369679319343749,0.9288476527162152,class_balanced,material_lomo,frequency_only_lr,wood,1644,1621
0.9464720194647201,0.9424950570027052,0.9456140302824185,0.9464844234901032,class_balanced,material_lomo,frequency_plus_v62a_lr,carbon,1621,1644
0.9494139420111043,0.950942756083973,0.9531270709223708,0.9498416982116596,class_balanced,material_lomo,frequency_plus_v62a_lr,wood,1644,1621
0.9063260340632603,0.9022398250438661,0.9007194761134176,0.9052612474448302,class_balanced,material_lomo,v61_knn,carbon,1621,1644
0.8642813078346699,0.8737135776034897,0.8719940374490533,0.8641725775925426,class_balanced,material_lomo,v61_knn,wood,1644,1621
0.9428223844282239,0.9379720012582032,0.942120005921268,0.9429194734920561,class_balanced,material_lomo,v62a_knn,carbon,1621,1644
0.9284392350400987,0.9287294989070741,0.9307528811511373,0.9287879809703927,class_balanced,material_lomo,v62a_knn,wood,1644,1621
0.9707241910631741,0.971228473019518,0.9712084032889923,0.9707254513760991,class_balanced,stratified,frequency_only_lr,validation,2616,649
0.9553158705701078,0.955839623225146,0.9556721615838732,0.9552953729746247,class_balanced,stratified,frequency_plus_v62a_lr,validation,2616,649
0.9506933744221879,0.9508737559250682,0.9508238749725516,0.9505995779542766,class_balanced,stratified,v61_knn,validation,2616,649
0.9414483821263482,0.9417667511627295,0.9416441436211,0.9415143506411435,class_balanced,stratified,v62a_knn,validation,2616,649
1.0,1.0,1.0,1.0,class_material_balanced,board_lobo,frequency_only_lr,C01,2327,473
