accuracy,balanced_accuracy,macro_f1,weighted_f1,explained_variance_ratio_sum,protocol,heldout_group,n_train,n_test,n_components,k
0.9718037852452684,0.9243093893498822,0.9335396032435874,0.9716310015094565,0.9993159770965576,stratified,validation,10355,2589,512,10
0.9831686791072082,0.9201998115330718,0.9362710643438458,0.9829479048063758,0.999333381652832,board_lobo,C01,10211,2733,512,10
0.96248382923674,0.9235386291890675,0.9289909974069662,0.9624980376086013,0.9993385672569275,board_lobo,C02,10625,2319,512,10
0.9761759315821625,0.9372230028357423,0.9568787325554176,0.9759055788089798,0.9993199110031128,board_lobo,C03,11307,1637,512,10
0.9508061182306738,0.9101658874594394,0.9074229201139055,0.9510080733773254,0.9993371367454529,board_lobo,W01,10525,2419,512,10
0.9801687763713081,0.9401787367526493,0.9541233451123035,0.9799850237889,0.9993436932563782,board_lobo,W02,10574,2370,512,10
0.9652114597544338,0.933415387906528,0.930872880804594,0.9654279605322859,0.9993367791175842,board_lobo,W03,11478,1466,512,10
0.9726416504709224,0.9289629396618831,0.9401976365602479,0.9725470707361502,0.9994363188743591,material_lomo,carbon,6255,6689,512,10
0.9654676258992806,0.9264317538540988,0.92992154602088,0.965541959805229,0.9994606971740723,material_lomo,wood,6689,6255,512,10
0.9718037852452684,0.9243093893498822,0.9335396032435874,0.9716310015094565,0.9978694319725037,stratified,validation,10355,2589,256,10
0.9831686791072082,0.9201998115330718,0.9362710643438458,0.9829479048063758,0.9979100227355957,board_lobo,C01,10211,2733,256,10
0.96248382923674,0.9235386291890675,0.9289909974069662,0.9624980376086013,0.9979273676872253,board_lobo,C02,10625,2319,256,10
0.9761759315821625,0.9372230028357423,0.9568787325554176,0.9759055788089798,0.9978809952735901,board_lobo,C03,11307,1637,256,10
0.9512195121951219,0.9102749387135288,0.9079610529702855,0.9513972713254193,0.9979212284088135,board_lobo,W01,10525,2419,256,10
0.9801687763713081,0.9401787367526493,0.9541233451123035,0.9799850237889,0.9979430437088013,board_lobo,W02,10574,2370,256,10
0.9652114597544338,0.933415387906528,0.930872880804594,0.9654279605322859,0.9979286789894104,board_lobo,W03,11478,1466,256,10
0.9724921512931679,0.9284011419090742,0.939879125895777,0.9723939473534213,0.9981417655944824,material_lomo,carbon,6255,6689,256,10
0.9654676258992806,0.9264317538540988,0.9299508226443234,0.9655480469786049,0.9982165694236755,material_lomo,wood,6689,6255,256,10
0.9714175357280803,0.9242105262752405,0.9327597259699967,0.9712512638295655,0.9956126809120178,stratified,validation,10355,2589,128,10
0.9831686791072082,0.9201998115330718,0.9362710643438458,0.9829479048063758,0.9956740736961365,board_lobo,C01,10211,2733,128,10
0.963777490297542,0.9238766573580817,0.9312563528342617,0.9637236314689168,0.9957181811332703,board_lobo,C02,10625,2319,128,10
0.9767868051313379,0.9373845537242722,0.9578397095957246,0.9765083759432396,0.9956240653991699,board_lobo,C03,11307,1637,128,10
0.9512195121951219,0.9092540464647934,0.9081544662862113,0.9513692445658724,0.9956985712051392,board_lobo,W01,10525,2419,128,10
0.980590717299578,0.940285574359487,0.9548478216316854,0.9803981043319623,0.9957506656646729,board_lobo,W02,10574,2370,128,10
0.9652114597544338,0.933415387906528,0.930872880804594,0.9654279605322859,0.9957132339477539,board_lobo,W03,11478,1466,128,10
0.9721931529376588,0.9267965987961967,0.9392937263349375,0.9720830655575206,0.9960272908210754,material_lomo,carbon,6255,6689,128,10
0.9661071143085531,0.9265983511052441,0.9309889612020408,0.9661613021573157,0.9961749315261841,material_lomo,wood,6689,6255,128,10
