Class ID,Class Name,Support,v6.1 Intra-Dist,v6.2-A Intra-Dist,v6.1 Ratio,v6.2-A Ratio,Ratio Delta
0,0,653,0.1006472185254097,0.13358530402183533,0.2293488215106355,0.15336893847010824,-0.07597988304052725
1,1,669,0.16082096099853516,0.1327585130929947,0.2762410677674832,0.1553806194036176,-0.12086044836386559
2,2,738,0.21835871040821075,0.1398855745792389,0.4326404872091536,0.19507269269646843,-0.23756779451268517
3,3,769,0.1935836672782898,0.11419234424829483,0.39090416436102304,0.1556995681147039,-0.23520459624631915
4,4,10115,0.1423075795173645,0.14975076913833618,0.285823500359655,0.18929692239673135,-0.09652657796292363
