group_field,held_out_group,train_groups,n_train,n_test,method,k,accuracy,macro_recall,macro_f1,class_0_support,class_0_recall,class_0_f1,class_1_support,class_1_recall,class_1_f1,class_2_support,class_2_recall,class_2_f1,class_3_support,class_3_recall,class_3_f1,class_4_support,class_4_recall,class_4_f1
board,C01,"C02,C03,W01,W02,W03",10211,2733,knn_cosine_k10,10,0.8371752652762532,0.23668046342585783,0.2472867132465658,129,0.007751937984496124,0.010869565217391304,170,0.1588235294117647,0.2559241706161137,57,0.03508771929824561,0.05063291139240506,77,0.0,0.0,2300,0.9817391304347826,0.919006919006919
board,C01,"C02,C03,W01,W02,W03",10211,2733,nearest_class_prototype,,0.7859495060373216,0.4735763199111799,0.3634318104682124,129,0.7054263565891473,0.4071588366890381,170,0.8294117647058824,0.5290806754221389,57,0.0,0.0,77,0.0,0.0,2300,0.8330434782608696,0.8809195402298851
board,C01,"C02,C03,W01,W02,W03",10211,2733,balanced_logistic_regression,,0.769849981705086,0.35759801302730176,0.3242436137028758,129,0.5968992248062015,0.27208480565371024,170,0.24705882352941178,0.3652173913043478,57,0.07017543859649122,0.07692307692307691,77,0.012987012987012988,0.02247191011235955,2300,0.8608695652173913,0.8845208845208845
board,C02,"C01,C03,W01,W02,W03",10625,2319,knn_cosine_k10,10,0.7015955153083225,0.21945926198346677,0.2042277499082381,134,0.014925373134328358,0.02040816326530612,112,0.15178571428571427,0.1059190031152648,141,0.014184397163120567,0.026315789473684213,157,0.012738853503184714,0.02272727272727273,1775,0.903661971830986,0.8457685209596626
board,C02,"C01,C03,W01,W02,W03",10625,2319,nearest_class_prototype,,0.37602414833980163,0.3011631867366279,0.17660200207188392,134,0.0,0.0,112,1.0,0.15566365531619178,141,0.02127659574468085,0.03896103896103896,157,0.06369426751592357,0.10638297872340426,1775,0.4208450704225352,0.5820023373587846
board,C02,"C01,C03,W01,W02,W03",10625,2319,balanced_logistic_regression,,0.3816300129366106,0.3801317487178483,0.26880869062645285,134,0.3358208955223881,0.0942408376963351,112,0.7321428571428571,0.35344827586206895,141,0.10638297872340426,0.1282051282051282,157,0.3375796178343949,0.21370967741935482,1775,0.38873239436619716,0.5544395339493773
board,C03,"C01,C02,W01,W02,W03",11307,1637,knn_cosine_k10,10,0.6963958460598656,0.2178655728344166,0.2118834778687412,110,0.06363636363636363,0.09210526315789473,74,0.08108108108108109,0.06593406593406594,98,0.02040816326530612,0.03883495145631067,117,0.017094017094017096,0.02666666666666667,1238,0.907108239095315,0.8358764421287681
board,C03,"C01,C02,W01,W02,W03",11307,1637,nearest_class_prototype,,0.39095907147220527,0.2564171701951531,0.15987783885834864,110,0.0,0.0,74,0.7837837837837838,0.12608695652173915,98,0.030612244897959183,0.05172413793103448,117,0.0,0.0,1238,0.4676898222940226,0.6215780998389695
board,C03,"C01,C02,W01,W02,W03",11307,1637,balanced_logistic_regression,,0.369578497251069,0.24955398703379314,0.18203291368402794,110,0.13636363636363635,0.06772009029345373,74,0.527027027027027,0.17687074829931973,98,0.0,0.0,117,0.15384615384615385,0.07302231237322515,1238,0.4305331179321486,0.5925514174541411
board,W01,"C01,C02,C03,W02,W03",10525,2419,knn_cosine_k10,10,0.7172385283174866,0.23873386441841493,0.24488418051910407,116,0.04310344827586207,0.07751937984496125,107,0.21495327102803738,0.3026315789473684,177,0.0,0.0,185,0.005405405405405406,0.007380073800738007,1834,0.9302071973827699,0.8368898700024527
board,W01,"C01,C02,C03,W02,W03",10525,2419,nearest_class_prototype,,0.5812319140140554,0.36776652570348817,0.26228566322165103,116,0.21551724137931033,0.2604166666666667,107,0.8878504672897196,0.24327784891165177,177,0.005649717514124294,0.010050251256281407,185,0.032432432432432434,0.044444444444444446,1834,0.6973827699018539,0.7532391048292109
board,W01,"C01,C02,C03,W02,W03",10525,2419,balanced_logistic_regression,,0.4030591153369161,0.33987747179792804,0.26133559487678926,116,0.13793103448275862,0.20382165605095545,107,0.5420560747663551,0.22480620155038758,177,0.2994350282485876,0.15295815295815296,185,0.2864864864864865,0.15273775216138327,1834,0.4334787350054526,0.572354211663067
board,W02,"C01,C02,C03,W01,W03",10574,2370,knn_cosine_k10,10,0.7886075949367088,0.2573764394771787,0.2720510543840177,74,0.05405405405405406,0.0784313725490196,113,0.20353982300884957,0.3066666666666667,142,0.014084507042253521,0.025157232704402514,169,0.03550295857988166,0.06486486486486487,1872,0.9797008547008547,0.8851351351351351
board,W02,"C01,C02,C03,W01,W03",10574,2370,nearest_class_prototype,,0.6734177215189874,0.27751807507761544,0.22165435067416778,74,0.4864864864864865,0.1460446247464503,113,0.008849557522123894,0.010362694300518135,142,0.035211267605633804,0.06329113924050633,169,0.029585798816568046,0.05263157894736842,1872,0.8274572649572649,0.8359417161359957
board,W02,"C01,C02,C03,W01,W03",10574,2370,balanced_logistic_regression,,0.6286919831223629,0.3125183647221251,0.297365270319201,74,0.1891891891891892,0.1581920903954802,113,0.18584070796460178,0.13815789473684212,142,0.176056338028169,0.10683760683760683,169,0.27218934911242604,0.2857142857142857,1872,0.7393162393162394,0.7979244739117901
board,W03,"C01,C02,C03,W01,W02",11478,1466,knn_cosine_k10,10,0.7100954979536153,0.2980071178890503,0.3189077692411215,90,0.16666666666666666,0.22727272727272724,93,0.21505376344086022,0.23121387283236994,123,0.04878048780487805,0.07142857142857142,64,0.15625,0.2298850574712644,1096,0.9032846715328468,0.8347386172006745
board,W03,"C01,C02,C03,W01,W02",11478,1466,nearest_class_prototype,,0.44679399727148705,0.3461308751817799,0.2484995042349511,90,0.3888888888888889,0.21276595744680854,93,0.6881720430107527,0.23443223443223443,123,0.04878048780487805,0.0759493670886076,64,0.109375,0.10370370370370371,1096,0.4954379562043796,0.6156462585034014
board,W03,"C01,C02,C03,W01,W02",11478,1466,balanced_logistic_regression,,0.3144611186903138,0.36632666658371316,0.25057773052168164,90,0.17777777777777778,0.19393939393939397,93,0.6021505376344086,0.25055928411633116,123,0.5528455284552846,0.1881051175656985,64,0.21875,0.19858156028368792,1096,0.2801094890510949,0.42170329670329676
