group_field,held_out_group,train_groups,n_train,n_test,method,k,accuracy,macro_recall,macro_f1,class_0_support,class_0_recall,class_0_f1,class_1_support,class_1_recall,class_1_f1,class_2_support,class_2_recall,class_2_f1,class_3_support,class_3_recall,class_3_f1,class_4_support,class_4_recall,class_4_f1
material,carbon,wood,6255,6689,knn_cosine_k10,10,0.7446554043952758,0.2802178773322709,0.25709249413698243,373,0.058981233243967826,0.08943089430894309,356,0.40730337078651685,0.2759276879162702,296,0.013513513513513514,0.021333333333333336,351,0.017094017094017096,0.029268292682926834,5313,0.904197252023339,0.8695022624434389
material,carbon,wood,6255,6689,nearest_class_prototype,,0.5239946180296008,0.3317120631383575,0.22250311455177973,373,0.0777479892761394,0.07064555420219246,356,0.9269662921348315,0.20879468522619424,296,0.02027027027027027,0.03773584905660377,351,0.045584045584045586,0.07126948775055679,5313,0.587991718426501,0.7240699965233515
material,carbon,wood,6255,6689,balanced_logistic_regression,,0.4138137240245179,0.34503844916123527,0.2354129745515415,373,0.38605898123324395,0.12614980289093297,356,0.6573033707865169,0.2848447961046866,296,0.037162162162162164,0.06060606060606061,351,0.21082621082621084,0.11169811320754718,5313,0.43384152079804256,0.5937660999484802
material,wood,carbon,6689,6255,knn_cosine_k10,10,0.7613109512390088,0.23718991119156668,0.23229839588711307,280,0.017857142857142856,0.03205128205128205,313,0.1853035143769968,0.25438596491228066,442,0.0022624434389140274,0.00443458980044346,418,0.0023923444976076554,0.0044943820224719105,4802,0.978134110787172,0.8661257606490873
material,wood,carbon,6689,6255,nearest_class_prototype,,0.6113509192645883,0.28473388163413904,0.2205876293398627,280,0.5285714285714286,0.1942257217847769,313,0.12460063897763578,0.09873417721518987,442,0.0,0.0,418,0.014354066985645933,0.02259887005649717,4802,0.756143273635985,0.7873793776428495
material,wood,carbon,6689,6255,balanced_logistic_regression,,0.5315747402078337,0.28477059341329586,0.2340359204206406,280,0.05714285714285714,0.08268733850129198,313,0.41214057507987223,0.20411392405063292,442,0.30995475113122173,0.13768844221105528,418,0.011961722488038277,0.020283975659229212,4802,0.6326530612244898,0.7254059216809934
