accuracy,balanced_accuracy,macro_f1,weighted_f1,family,protocol,feature_kind,heldout_group,n_train,n_test
0.9961375048281189,0.9865182436611007,0.9866861288039631,0.9961341733235254,rf,stratified,freq,validation,10355,2589
0.9725762842796446,0.9129968600318097,0.9356177306448826,0.9720746238246216,rf,stratified,embed,validation,10355,2589
0.974121282348397,0.9157301458595098,0.9405049294637153,0.9736392229599126,rf,stratified,fusion,validation,10355,2589
0.9915843395536041,0.9192982456140351,0.9234618488855777,0.9910676022231586,rf,board_lobo,freq,C01,10211,2733
0.9831824062095731,0.9446808510638298,0.945804917287448,0.9827618634347627,rf,board_lobo,freq,C02,10625,2319
0.9920586438607208,0.9734693877551021,0.9752660339373023,0.9919855568902126,rf,board_lobo,freq,C03,11307,1637
0.9925589086399339,0.9805405405405405,0.9800953079178886,0.9925486798669865,rf,board_lobo,freq,W01,10525,2419
0.9928270042194093,0.9798816568047337,0.9781124186253507,0.9928396247603135,rf,board_lobo,freq,W02,10574,2370
1.0,1.0,1.0,1.0,rf,board_lobo,freq,W03,11478,1466
0.9846322722283205,0.9088187603206119,0.9362146680705015,0.9841807160516493,rf,board_lobo,embed,C01,10211,2733
0.9672272531263476,0.9103222151123559,0.9376315777018546,0.966798696032957,rf,board_lobo,embed,C02,10625,2319
0.9780085522296884,0.9309672773831557,0.9601444375421639,0.9776378084517987,rf,board_lobo,embed,C03,11307,1637
0.9681686647374949,0.9181113030929096,0.9368287583172575,0.9678241686964525,rf,board_lobo,embed,W01,10525,2419
0.9810126582278481,0.930219248136606,0.9558688307211385,0.9806806444446396,rf,board_lobo,embed,W02,10574,2370
0.9727148703956344,0.9259081107308011,0.9402441204344733,0.9724471665623394,rf,board_lobo,embed,W03,11478,1466
0.9849981705085986,0.9123275322504366,0.9385546046348414,0.9846007974168515,rf,board_lobo,fusion,C01,10211,2733
0.9719706770159552,0.918168208457313,0.9457851025084046,0.9715440462251327,rf,board_lobo,fusion,C02,10625,2319
0.9792302993280391,0.9328382299810872,0.962161560724474,0.9788849733013107,rf,board_lobo,fusion,C03,11307,1637
0.9702356345597354,0.9229564873877258,0.9423197462626348,0.969884958132179,rf,board_lobo,fusion,W01,10525,2419
0.9810126582278481,0.9315135001350832,0.9554465386551586,0.9806853157798661,rf,board_lobo,fusion,W02,10574,2370
0.9781718963165075,0.9294077052157972,0.9480772054053336,0.9778167797029186,rf,board_lobo,fusion,W03,11478,1466
0.987143070713111,0.9418918918918919,0.9441804939708274,0.9867520695179784,rf,material_lomo,freq,carbon,6255,6689
0.9792166266986411,0.937799043062201,0.9375317788915523,0.9786354108403551,rf,material_lomo,freq,wood,6689,6255
0.9745851397817312,0.9125257980811652,0.9414833262068543,0.9740733976594168,rf,material_lomo,embed,carbon,6255,6689
0.9707434052757794,0.9115384719564383,0.9383565636593211,0.9702176384900625,rf,material_lomo,embed,wood,6689,6255
0.9757811332037674,0.9140774058046244,0.9439826857509553,0.9752739100698982,rf,material_lomo,fusion,carbon,6255,6689
0.9760191846522782,0.9261368639333971,0.9465864673887291,0.9756989947226279,rf,material_lomo,fusion,wood,6689,6255
