held_out_material,held_out_total,v6.1 Macro-F1,v6.2-A Macro-F1,Delta v6.2-A minus v6.1 (pp),winner,caution_note
carbon,6689,87.34%,93.97%,+6.62,v6.2-A,descriptive stress-test only; two material groups available
wood,6255,85.32%,93.01%,+7.69,v6.2-A,descriptive stress-test only; two material groups available
