accuracy,balanced_accuracy,macro_f1,weighted_f1,protocol,family,feature_kind,n
0.9256801592568016,0.9255667621695722,0.9256353318529484,0.9256728899480686,board_lobo,lr,embed,1507
0.9455872594558726,0.9458646537050546,0.9455853186834865,0.9455920035661497,board_lobo,lr,freq,1507
0.980092899800929,0.9800844724962203,0.9800844724962203,0.980092899800929,board_lobo,lr,fusion,1507
0.9502322495023225,0.9500063433664245,0.9501858362499025,0.9502171147460985,board_lobo,rf,embed,1507
0.927007299270073,0.9264301648218043,0.9268449184645421,0.9269158171261119,board_lobo,rf,freq,1507
0.960185799601858,0.9599777629765894,0.9601502672514702,0.9601747450928484,board_lobo,rf,fusion,1507
0.9382879893828799,0.937811221415205,0.9381764862350477,0.9382304955722788,material_lomo,lr,embed,1507
0.8566688785666888,0.8572090597368913,0.8566582117945466,0.8566327756455921,material_lomo,lr,freq,1507
0.9681486396814863,0.9681351559939526,0.9681351559939526,0.9681486396814863,material_lomo,lr,fusion,1507
0.9396151293961513,0.9398763395956456,0.9396124703813251,0.9396207133272861,material_lomo,rf,embed,1507
0.8566688785666888,0.8572090597368913,0.8566582117945466,0.8566327756455921,material_lomo,rf,freq,1507
0.9475779694757797,0.947651368581306,0.9475646704453213,0.9475818483596634,material_lomo,rf,fusion,1507
0.9401993355481728,0.9404761904761905,0.9401933945602261,0.9402072568654349,stratified,lr,embed,301
0.9235880398671097,0.9239332096474954,0.9235846661589235,0.9235964741375748,stratified,lr,freq,301
0.9833887043189369,0.9836116264687693,0.9833857702710161,0.9833909048548772,stratified,lr,fusion,301
0.920265780730897,0.9206864564007422,0.9202649006622516,0.9202710611427692,stratified,rf,embed,301
0.9667774086378738,0.966295609152752,0.9667153220099081,0.9667487532711204,stratified,rf,freq,301
0.9269102990033222,0.9273345701917131,0.9269094922737307,0.9269151393808718,stratified,rf,fusion,301
