protocol,condition,display_name,method,macro_f1,mean_macro_f1,accuracy,macro_recall,worst_group,worst_group_macro_f1,best_group,best_group_macro_f1,n_groups
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,balanced_logistic_regression,,0.3793798576179885,0.6855926507844883,0.41654527032961775,C01,0.28115926372148936,W01,0.46568154148210644,6
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,random_forest,,0.2741808408972665,0.7915359201338648,0.28098621227557224,W02,0.17652050919377651,C03,0.32796964413906265,6
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,balanced_logistic_regression,,0.5250477912621878,0.8201760400444723,0.5487044752166134,C01,0.42713127201725376,C02,0.5870908760877936,6
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,random_forest,,0.42819368806174024,0.8351462770963084,0.41318295391820775,W02,0.3076376619622567,W01,0.504229037087876,6
material_grouped,frequency_only,Frequency only,balanced_logistic_regression,,0.9408561364311898,0.983179848705876,0.9398454674770464,wood,0.9375317788915524,carbon,0.9441804939708274,2
material_grouped,frequency_only,Frequency only,random_forest,,0.9408561364311898,0.983179848705876,0.9398454674770464,wood,0.9375317788915524,carbon,0.9441804939708274,2
material_grouped,v6_1_embedding_only,v6.1 embedding only,balanced_logistic_regression,,0.6848743148193763,0.8535038795096379,0.7847181379718202,carbon,0.6526256877229313,wood,0.7171229419158214,2
material_grouped,v6_1_embedding_only,v6.1 embedding only,random_forest,,0.8776757198710069,0.952363240219605,0.8473629490499808,wood,0.8601791767154214,carbon,0.8951722630265924,2
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,balanced_logistic_regression,,0.7971296190574347,0.936040666644439,0.8296737583295131,carbon,0.715106821884889,wood,0.8791524162299804,2
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,random_forest,,0.9019834473671781,0.9624208541673165,0.8734685024764302,wood,0.8897739710508523,carbon,0.9141929236835038,2
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,balanced_logistic_regression,,0.9110766490505552,0.9568585884768042,0.9294017309163742,wood,0.8899964004860413,carbon,0.932156897615069,2
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,random_forest,,0.9405498432710986,0.9729580844219825,0.9219056682417639,wood,0.9377956484963115,carbon,0.9433040380458856,2
