protocol,condition,display_name,condition_type,method,n_train,class_id,label_name,support,precision,recall,f1,held_out_group,n_test,stress_test_note
stratified_train_val,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,10355,3,2_1,154,0.9241379310344827,0.8701298701298701,0.8963210702341137,,,
stratified_train_val,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,10355,4,higher,2023,0.9795221843003413,0.9930795847750865,0.9862542955326461,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,0,1_1H,131,0.9848484848484849,0.9923664122137404,0.9885931558935361,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,1,1_1T,134,0.9777777777777777,0.9850746268656716,0.9814126394052044,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,2,1_2,147,0.9379310344827586,0.9251700680272109,0.9315068493150684,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,3,2_1,154,0.9354838709677419,0.9415584415584416,0.9385113268608415,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,4,higher,2023,0.9975272007912958,0.9970341077607514,0.9972805933250928,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,10355,0,1_1H,131,0.9609375,0.9389312977099237,0.9498069498069499,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,10355,1,1_1T,134,0.9920634920634921,0.9328358208955224,0.9615384615384616,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,10355,2,1_2,147,0.9214285714285714,0.8775510204081632,0.8989547038327526,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,10355,3,2_1,154,0.9370629370629371,0.8701298701298701,0.9023569023569024,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,10355,4,higher,2023,0.9819688109161794,0.9960454770143351,0.9889570552147239,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,0,1_1H,131,0.832258064516129,0.9847328244274809,0.9020979020979021,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,1,1_1T,134,0.7865853658536586,0.9626865671641791,0.865771812080537,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,2,1_2,147,0.6717948717948717,0.891156462585034,0.7660818713450293,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,3,2_1,154,0.6631016042780749,0.8051948051948052,0.7272727272727273,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,4,higher,2023,0.9936440677966102,0.9273356401384083,0.9593454359498849,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,10355,0,1_1H,131,0.9692307692307692,0.48091603053435117,0.6428571428571428,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,10355,1,1_1T,134,0.9857142857142858,0.5149253731343284,0.6764705882352942,,,
