protocol,condition,display_name,condition_type,method,held_out_group,n_train,n_test,stress_test_note,accuracy,macro_recall,macro_f1
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,balanced_logistic_regression,W01,10525,2419,none,0.9396444811905746,0.9247875534378774,0.8916116827894383
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,balanced_logistic_regression,W02,10574,2370,none,0.9729957805907173,0.9552685383942154,0.9304520813737189
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,balanced_logistic_regression,W03,11478,1466,none,0.9570259208731241,0.9144541440219559,0.9186534204252983
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,C01,10211,2733,none,0.9842663739480424,0.9087318037988729,0.9335778806382031
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,C02,10625,2319,none,0.9646399310047434,0.9187196884535209,0.9325992413312496
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,C03,11307,1637,none,0.9780085522296884,0.9341717591336792,0.9602754585994809
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,W01,10525,2419,none,0.9669284828441504,0.9249024419924978,0.9339337890802281
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,W02,10574,2370,none,0.9814345991561182,0.9355251770340841,0.9574260950029168
board_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,W03,11478,1466,none,0.9720327421555253,0.9277653694493738,0.9390584784812568
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,C01,10211,2733,none,0.9886571533113795,0.9591578337819373,0.9420947968001997
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,C02,10625,2319,none,0.9586028460543338,0.9491607681369189,0.9201529293819523
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,C03,11307,1637,none,0.9816737935247404,0.946299473416944,0.9611342041589858
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,W01,10525,2419,none,0.9677552707730467,0.9358907505724723,0.9254139106972843
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,W02,10574,2370,none,0.9890295358649789,0.9634729476955911,0.9635238020709849
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,W03,11478,1466,none,0.9774897680763983,0.9399838136979204,0.9419772202362197
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,C01,10211,2733,none,0.9849981705085986,0.9123275322504366,0.9378499810309217
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,C02,10625,2319,none,0.9702457956015524,0.9294062020593504,0.9431757060599042
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,C03,11307,1637,none,0.9780085522296884,0.9341717591336792,0.9602754585994809
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,W01,10525,2419,none,0.9706490285241836,0.9281535444636082,0.9424284913338485
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,W02,10574,2370,none,0.9822784810126582,0.9368154465935845,0.9576969134911228
