evaluation,group,method,n_samples,n_active_classes,accuracy,macro_recall,macro_f1,support_0_1_1H,support_1_1_1T,support_2_1_2,support_3_2_1,support_4_higher,train_samples,confusion_matrix
lomo_material,wood_to_carbon,knn_cosine_k10,6689,5,0.9723426521154134,0.9288876526300743,0.9396541232538173,373,356,296,351,5313,6255,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_wood_to_carbon_knn_cosine_k10.csv
lomo_material,wood_to_carbon,nearest_class_prototype_cosine,6689,5,0.8351024069367619,0.9212929142338033,0.7369738480609873,373,356,296,351,5313,6255,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_wood_to_carbon_nearest_class_prototype_cosine.csv
lomo_material,wood_to_carbon,linear_probe_logistic_regression,6689,5,0.9689041710270594,0.9303606339192647,0.9315439642751535,373,356,296,351,5313,6255,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_wood_to_carbon_linear_probe_logistic_regression.csv
lomo_material,carbon_to_wood,knn_cosine_k10,6255,5,0.9654676258992806,0.9271043902555982,0.9300893427639704,280,313,442,418,4802,6689,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_carbon_to_wood_knn_cosine_k10.csv
lomo_material,carbon_to_wood,nearest_class_prototype_cosine,6255,5,0.7579536370903277,0.8915775364126575,0.689969348067205,280,313,442,418,4802,6689,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_carbon_to_wood_nearest_class_prototype_cosine.csv
lomo_material,carbon_to_wood,linear_probe_logistic_regression,6255,5,0.9454836131095123,0.92905826214201,0.8918659463230633,280,313,442,418,4802,6689,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lomo_material_carbon_to_wood_linear_probe_logistic_regression.csv
