protocol,method,held_out_group,stress_test_note,class_id,label_name,support,precision,recall,f1
board_grouped,frequency_logistic_regression,W01,none,4,higher,1834,1.0,1.0,1.0
board_grouped,frequency_random_forest,W01,none,0,1_1H,116,1.0,1.0,1.0
board_grouped,frequency_random_forest,W01,none,1,1_1T,107,1.0,1.0,1.0
board_grouped,frequency_random_forest,W01,none,2,1_2,177,0.9076923076923077,1.0,0.9516129032258065
board_grouped,frequency_random_forest,W01,none,3,2_1,185,1.0,0.9027027027027027,0.9488636363636364
board_grouped,frequency_random_forest,W01,none,4,higher,1834,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W01,none,0,1_1H,116,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W01,none,1,1_1T,107,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W01,none,2,1_2,177,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W01,none,3,2_1,185,1.0,0.9243243243243243,0.9606741573033708
board_grouped,frequency_bin_majority_diagnostic,W01,none,4,higher,1834,0.9924242424242424,1.0,0.9961977186311787
board_grouped,frequency_logistic_regression,W02,none,0,1_1H,74,1.0,1.0,1.0
board_grouped,frequency_logistic_regression,W02,none,1,1_1T,113,1.0,1.0,1.0
board_grouped,frequency_logistic_regression,W02,none,2,1_2,142,0.8022598870056498,1.0,0.8902821316614421
board_grouped,frequency_logistic_regression,W02,none,3,2_1,169,1.0,0.7928994082840237,0.8844884488448845
board_grouped,frequency_logistic_regression,W02,none,4,higher,1872,1.0,1.0,1.0
board_grouped,frequency_random_forest,W02,none,0,1_1H,74,1.0,1.0,1.0
board_grouped,frequency_random_forest,W02,none,1,1_1T,113,1.0,1.0,1.0
board_grouped,frequency_random_forest,W02,none,2,1_2,142,0.8930817610062893,1.0,0.9435215946843853
board_grouped,frequency_random_forest,W02,none,3,2_1,169,1.0,0.8994082840236687,0.9470404984423676
board_grouped,frequency_random_forest,W02,none,4,higher,1872,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W02,none,0,1_1H,74,1.0,1.0,1.0
